
input\EAME_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	231.0000	27	10.287	1.6769	16.30	7.8705	13.444	186.48
EHpO-2016Rotational	25000.00	50	231.0000	99	28.665	6.9738	24.33	19.242	42.703	89.04
Mim-2014Continuous	7500.000	15	231.0000	6	5.7910	2.4721	42.69	2.8402	11.807	16.73
Mim-2014Rotational	41500.00	83	231.0000	37	6.4538	1.6041	24.86	4.3031	9.6795	143.72
Mim-2015Continuous	6500.000	13	231.0000	8	8.9092	2.3172	26.01	5.7318	13.848	20.20
Mim-2015Rotational	23000.00	46	231.0000	25	7.8682	1.4558	18.50	5.8071	10.661	141.97
Mim-2016Continuous	8000.000	16	231.0000	31	28.050	12.003	42.79	13.774	57.124	17.91
Mim-2016Rotational	31500.00	63	231.0000	115	26.427	5.7197	21.64	18.542	37.666	11.34

input\HONA_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	254.0000	8	2.4596	0.83050	33.77	1.4170	4.2693	46.54
EHpO-2016Rotational	25000.00	50	254.0000	22	5.1405	1.1153	21.70	3.5986	7.3431	85.81
Mim-2014Continuous	7500.000	15	254.0000	1	0.77886	0.78378	100.63	0.17900	3.3890	16.73
Mim-2014Rotational	41500.00	83	254.0000	18	2.5337	0.66648	26.31	1.6501	3.8904	117.83
Mim-2015Continuous	6500.000	13	254.0000	0	0.00000	2.3172	26.01	5.7318	13.848	20.20
Mim-2015Rotational	23000.00	46	254.0000	4	1.0159	0.50387	49.60	0.46293	2.2294	49.95
Mim-2016Continuous	8000.000	16	254.0000	5	3.6509	1.4573	39.92	1.8731	7.1163	17.68
Mim-2016Rotational	31500.00	63	254.0000	29	5.3779	1.0596	19.70	3.8914	7.4322	11.51

input\MESP_Ranch_Yr_regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	152.0000	25	11.543	1.7955	15.55	8.9308	14.919	105.74
EHpO-2016Rotational	25000.00	50	152.0000	88	30.880	7.0009	22.67	21.270	44.832	75.62
Mim-2014Continuous	7500.000	15	152.0000	6	7.0181	2.9510	42.05	3.4673	14.205	15.75
Mim-2014Rotational	41500.00	83	152.0000	31	6.5531	1.6617	25.36	4.3318	9.9134	114.95
Mim-2015Continuous	6500.000	13	152.0000	8	10.797	2.6933	24.94	7.0430	16.552	17.11
Mim-2015Rotational	23000.00	46	152.0000	20	7.6284	1.6027	21.01	5.3966	10.783	75.27
Mim-2016Continuous	8000.000	16	152.0000	27	29.608	11.346	38.32	15.560	56.336	17.31
Mim-2016Rotational	31500.00	63	152.0000	99	27.571	5.6653	20.55	19.675	38.637	9.68

input\CCLO_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	98.00000	30	183.59	27.306	14.87	143.82	234.35	279.77
EHpO-2016Rotational	25000.00	50	98.00000	24	111.62	24.366	21.83	78.019	159.69	102.21
Mim-2014Continuous	7500.000	15	98.00000	32	496.09	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	98.00000	128	358.62	56.938	15.88	276.47	465.17	388.09
Mim-2015Continuous	6500.000	13	98.00000	14	250.43	35.432	14.15	198.39	316.11	159.34
Mim-2015Rotational	23000.00	46	98.00000	42	212.32	27.709	13.05	171.41	263.00	651.87
Mim-2016Continuous	8000.000	16	98.00000	5	72.669	36.110	49.69	32.095	164.54	16.99
Mim-2016Rotational	31500.00	63	98.00000	74	273.14	48.149	17.63	204.59	364.67	17.57

input\AMPA_Ranch_Yr_Restoration_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	98.00000	30	183.59	27.306	14.87	143.82	234.35	279.77
EHpO-2016Rotational	25000.00	50	98.00000	24	111.62	24.366	21.83	78.019	159.69	102.21
Mim-2014Continuous	7500.000	15	98.00000	32	496.09	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	98.00000	128	358.62	56.938	15.88	276.47	465.17	388.09
Mim-2015Continuous	6500.000	13	98.00000	14	250.43	35.432	14.15	198.39	316.11	159.34
Mim-2015Rotational	23000.00	46	98.00000	42	212.32	27.709	13.05	171.41	263.00	651.87
Mim-2016Continuous	8000.000	16	98.00000	5	72.669	36.110	49.69	32.095	164.54	16.99
Mim-2016Rotational	31500.00	63	98.00000	74	273.14	48.149	17.63	204.59	364.67	17.57
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\BRSP_Ranch_Yr_Restoration_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	43.00000	6	55.964	28.155	50.31	25.358	123.51	70.94
EHpO-2016Rotational	25000.00	50	43.00000	8	56.711	33.245	58.62	22.956	140.10	80.58
Mim-2014Continuous	7500.000	15	43.00000	0	0.00000	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	43.00000	0	0.00000	56.938	15.88	276.47	465.17	388.09
Mim-2015Continuous	6500.000	13	43.00000	0	0.00000	35.432	14.15	198.39	316.11	159.34
Mim-2015Rotational	23000.00	46	43.00000	2	15.410	11.915	77.32	4.9149	48.319	63.23
Mim-2016Continuous	8000.000	16	43.00000	0	0.00000	36.110	49.69	32.095	164.54	16.99
Mim-2016Rotational	31500.00	63	43.00000	3	16.878	11.088	65.69	6.2390	45.660	17.27
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\VESP_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	49.00000	14	36.205	16.302	45.03	17.732	73.922	93.34
EHpO-2016Rotational	25000.00	50	49.00000	11	21.620	10.715	49.56	9.9365	47.039	110.74
Mim-2014Continuous	7500.000	15	49.00000	0	0.00000	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	49.00000	2	2.3680	1.9096	80.64	0.73286	7.6513	125.97
Mim-2015Continuous	6500.000	13	49.00000	0	0.00000	35.432	14.15	198.39	316.11	159.34
Mim-2015Rotational	23000.00	46	49.00000	6	12.818	7.0738	55.19	5.4482	30.157	106.60
Mim-2016Continuous	8000.000	16	49.00000	0	0.00000	36.110	49.69	32.095	164.54	16.99
Mim-2016Rotational	31500.00	63	49.00000	16	24.958	12.710	50.93	11.260	55.320	37.02
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\LARB_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	176.0000	4	103.61	93.809	90.54	28.306	379.25	48.37
EHpO-2016Rotational	25000.00	50	176.0000	7	137.80	119.90	87.01	39.032	486.52	43.96
Mim-2014Continuous	7500.000	15	176.0000	0	0.00000	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	176.0000	0	0.00000	1.9096	80.64	0.73286	7.6513	125.97
Mim-2015Continuous	6500.000	13	176.0000	0	0.00000	35.432	14.15	198.39	316.11	159.34
Mim-2015Rotational	23000.00	46	176.0000	2	42.796	44.452	103.87	10.269	178.35	65.47
Mim-2016Continuous	8000.000	16	176.0000	1	61.519	77.573	126.10	11.785	321.14	16.99
Mim-2016Rotational	31500.00	63	176.0000	2	31.248	32.503	104.02	7.5002	130.19	34.92
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\CASP_Ranch_Yr_Restoration_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	24.00000	5	57.921	175.92	303.72	4.4550	753.05	41.61
EHpO-2016Rotational	25000.00	50	24.00000	12	105.65	319.38	302.31	8.1549	1368.7	40.86
Mim-2014Continuous	7500.000	15	24.00000	0	0.00000	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	24.00000	0	0.00000	1.9096	80.64	0.73286	7.6513	125.97
Mim-2015Continuous	6500.000	13	24.00000	2	67.723	208.79	308.29	5.1473	891.03	43.82
Mim-2015Rotational	23000.00	46	24.00000	0	0.00000	44.452	103.87	10.269	178.35	65.47
Mim-2016Continuous	8000.000	16	24.00000	5	137.56	419.02	304.60	10.556	1792.6	42.04
Mim-2016Rotational	31500.00	63	24.00000	18	125.77	379.78	301.96	9.7168	1627.9	41.18
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\CHSP_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	49.00000	0	0.00000	175.92	303.72	4.4550	753.05	41.61
EHpO-2016Rotational	25000.00	50	49.00000	1	4.8980	4.8980	100.00	1.2129	19.779	40.86
Mim-2014Continuous	7500.000	15	49.00000	0	0.00000	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	49.00000	0	0.00000	1.9096	80.64	0.73286	7.6513	125.97
Mim-2015Continuous	6500.000	13	49.00000	0	0.00000	208.79	308.29	5.1473	891.03	43.82
Mim-2015Rotational	23000.00	46	49.00000	0	0.00000	44.452	103.87	10.269	178.35	65.47
Mim-2016Continuous	8000.000	16	49.00000	0	0.00000	419.02	304.60	10.556	1792.6	42.04
Mim-2016Rotational	31500.00	63	49.00000	0	0.00000	379.78	301.96	9.7168	1627.9	41.18
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\SPPI_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	82.00000	0	0.00000	175.92	303.72	4.4550	753.05	41.61
EHpO-2016Rotational	25000.00	50	82.00000	6	4.6092	2.2006	47.74	2.1615	9.8288	58.91
Mim-2014Continuous	7500.000	15	82.00000	0	0.00000	136.15	27.45	312.24	788.19	21.74
Mim-2014Rotational	41500.00	83	82.00000	6	2.7766	1.3441	48.41	1.2960	5.9489	97.20
Mim-2015Continuous	6500.000	13	82.00000	0	0.00000	208.79	308.29	5.1473	891.03	43.82
