
input\BAIS_Ranch_Yr_Restoration.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
Aguj-2013Non-restoration	500.0000	1	11.00000	0	0.00000	-	-	-	-	-
Aguj-2014Non-restoration	22000.00	44	11.00000	9	36.639	12.570	34.31	20.921	64.166	44.50
Aguj-2015Non-restoration	22500.00	45	11.00000	9	35.825	10.920	30.48	21.721	59.086	45.95
AT-2014Non-restoration	8450.000	20	11.00000	10	105.99	37.462	35.34	58.619	191.65	19.62
AT-2015Non-restoration	6000.000	12	11.00000	6	89.562	27.299	30.48	52.548	152.65	11.49
AT-2016Non-restoration	6000.000	12	11.00000	6	89.562	35.091	39.18	45.507	176.27	11.29
AU-2014Non-restoration	75200.00	114	11.00000	8	9.5279	4.4048	46.23	4.5926	19.767	115.14
AU-2015Non-restoration	24500.00	49	11.00000	4	14.622	7.1091	48.62	6.7546	31.655	48.82
AU-2016Non-restoration	23500.00	47	11.00000	6	22.867	8.8725	38.80	12.200	42.862	47.24
AV-2015Non-restoration	21000.00	42	11.00000	16	68.238	13.923	20.40	48.611	95.789	45.22
AV-2016Non-restoration	20500.00	41	11.00000	0	0.00000	-	-	-	-	-
CaJa-2015Non-restoration	6000.000	12	11.00000	1	14.927	14.942	100.10	3.3450	66.611	-
CaJa-2016Non-restoration	6000.000	12	11.00000	0	0.00000	-	-	-	-	-
Coy1-2014Non-restoration	7000.000	14	11.00000	0	0.00000	-	-	-	-	-
Coy1-2015Non-restoration	6500.000	13	11.00000	0	0.00000	-	-	-	-	-
Coy1-2016Non-restoration	6500.000	13	11.00000	1	13.779	13.793	100.10	3.1227	60.798	-
Coy2-2007Non-restoration	4005.000	4	11.00000	0	0.00000	-	-	-	-	-
Coy2-2008Non-restoration	6057.000	6	11.00000	0	0.00000	-	-	-	-	-
Coy2-2009Non-restoration	6032.000	6	11.00000	1	14.848	14.876	100.19	2.7716	79.542	-
Coy2-2010Non-restoration	6032.000	6	11.00000	0	0.00000	-	-	-	-	-
Coy2-2011Non-restoration	6032.000	6	11.00000	0	0.00000	-	-	-	-	-
Coy2-2012Non-restoration	6032.000	6	11.00000	1	14.848	14.890	100.29	2.7683	79.637	-
Coy2-2013Non-restoration	6032.000	6	11.00000	0	0.00000	-	-	-	-	-
Coy2-2014Non-restoration	8500.000	17	11.00000	1	10.537	10.547	100.10	2.4612	45.110	-
Coy2-2015Non-restoration	8500.000	17	11.00000	0	0.00000	-	-	-	-	-
Coy2-2016Non-restoration	10500.00	21	11.00000	0	0.00000	-	-	-	-	-
Dama-2014Non-restoration	10500.00	21	11.00000	1	8.5297	8.5382	100.10	2.0277	35.882	-
Dama-2015Non-restoration	10500.00	21	11.00000	1	8.5297	8.5382	100.10	2.0277	35.882	-
Dama-2016Non-restoration	11500.00	23	11.00000	0	0.00000	-	-	-	-	-
EHpO-2015Non-restoration	19000.00	38	11.00000	8	37.710	12.123	32.15	22.228	63.976	38.47
EHpO-2016Non-restoration	25000.00	50	11.00000	14	50.155	13.763	27.44	31.939	78.759	51.70
EjSP-2015Non-restoration	2000.000	4	11.00000	0	0.00000	-	-	-	-	-
EjSP-2016Non-restoration	2000.000	4	11.00000	0	0.00000	-	-	-	-	-
EL15-2013Non-restoration	2000.000	4	11.00000	2	89.562	89.652	100.10	12.647	634.27	3.01
EL15-2014Non-restoration	9500.000	19	11.00000	3	28.283	15.447	54.62	11.669	68.553	18.24
